cuenca,ubicacion,campo
Burgos,Terrestre,CULEBRA
Burgos,Terrestre,TORRECILLAS
Tampico-Misantla,Terrestre,AMATITLAN
Tampico-Misantla,Terrestre,CASTILLO DE TEAYO
Burgos,Terrestre,COMITAS
Burgos,Terrestre,SAN VICENTE
Burgos,Terrestre,PALITO BLANCO
Cuencas del Sureste,Terrestre,SAMARIA
Burgos,Terrestre,SIERRITA
Cuencas del Sureste,Terrestre,PALMITOTA ORIENTE
Burgos,Terrestre,SANTA ANITA
Tampico-Misantla,Terrestre,GUADALUPE
Burgos,Terrestre,PALMITO
Cuencas del Sureste,Terrestre,CACAO
Cuencas del Sureste,Terrestre,IXHUATLAN ORIENTE
Burgos,Terrestre,CHAPUL
Tampico-Misantla,Terrestre,CARISTAY
Burgos,Terrestre,OROZCO
Burgos,Terrestre,POLVAREDA
Tampico-Misantla,Terrestre,COPAL
Cuencas del Sureste,Terrestre,PANAL
Tampico-Misantla,Terrestre,CHICONTEPEC
Cuencas del Sureste,Terrestre,OTATES
Cuencas del Sureste,Terrestre,EL GOLPE
Tampico-Misantla,Terrestre,MURO
Tampico-Misantla,Terrestre,PAPALTLARILLO
Burgos,Terrestre,SANTA FE
Cuencas del Sureste,Terrestre,ARROYO PRIETO
Burgos,Terrestre,AZUCAR
Tampico-Misantla,Terrestre,SANTA LUCIA
Burgos,Terrestre,CRUZ
Veracruz,Terrestre,COCUITE
Burgos,Terrestre,MATAMOROS
Burgos,Terrestre,PICADILLO
Burgos,Terrestre,PAMORANA
Burgos,Terrestre,RIO BRAVO
Tampico-Misantla,Terrestre,CABO ROJO
Cuencas del Sureste,Terrestre,BLASILLO
Burgos,Terrestre,CABO NUEVO
Tampico-Misantla,Terrestre,ALTAMIRA
Tampico-Misantla,Terrestre,CACALILAO
Tampico-Misantla,Terrestre,CERRO VIEJO
Tampico-Misantla,Terrestre,CORCOVADO
Tampico-Misantla,Terrestre,EBANO
Tampico-Misantla,Terrestre,JUAN FELIPE
Tampico-Misantla,Terrestre,SALINAS BARCO CARACOL
Tampico-Misantla,Terrestre,SAN DIEGO CHICONCILLO
Tampico-Misantla,Terrestre,SUR CHINAMPA NORTE DE AMATLAN
Tampico-Misantla,Terrestre,SUR DE AMATLAN
Tampico-Misantla,Terrestre,TEPETATE NORTE CHINAMPA
Tampico-Misantla,Terrestre,TOPILA
Tampico-Misantla,Terrestre,TOTECO CERRO AZUL
Burgos,Terrestre,TINTA
Burgos,Terrestre,CUERVITO
Burgos,Terrestre,ARCOS
Burgos,Terrestre,FRONTERIZO
Burgos,Terrestre,MIER
Tampico-Misantla,Terrestre,FRIJOLILLO
Tampico-Misantla,Terrestre,ZAPOTAL
Burgos,Terrestre,PARRITAS
Burgos,Terrestre,RAMIREZ
Cuencas del Sureste,Terrestre,SAN RAMON
Tampico-Misantla,Terrestre,CHICONCOA
Burgos,Terrestre,GUILLERMO PRIETO
Burgos,Terrestre,SAN BERNARDO
Burgos,Terrestre,PRESITA
Cuencas del Sureste,Terrestre,CASTARRICAL
Burgos,Terrestre,LAJITAS
Tampico-Misantla,Aguas someras,TIBURON
Tampico-Misantla,Terrestre,PALO BLANCO
Cuencas del Sureste,Terrestre,ROSARIO
Cuencas del Sureste,Terrestre,SANTUARIO
Burgos,Terrestre,VILLA CARDENAS
Tampico-Misantla,Terrestre,JABONERA
Tampico-Misantla,Aguas someras,TINTORERA
Burgos,Terrestre,NUTRIA
Burgos,Terrestre,TRONCON
Burgos,Terrestre,ESCOBEDO
Burgos,Terrestre,HUIZACHE
Burgos,Terrestre,SANTA ROSALIA
Cuencas del Sureste,Terrestre,TUCAN
Tampico-Misantla,Aguas someras,ATUN
Cuencas del Sureste,Terrestre,PAJONAL
Veracruz,Terrestre,MIRADOR
Veracruz,Terrestre,NOPALTEPEC
Veracruz,Terrestre,VEINTE
Burgos,Terrestre,PRESA
Veracruz,Terrestre,NOVILLERO
Burgos,Terrestre,CAMARGO
Burgos,Terrestre,MOJARRENAS
Burgos,Terrestre,PINTA
Tampico-Misantla,Terrestre,PALMA SOLA
Tampico-Misantla,Terrestre,PLAN DE AYALA
Burgos,Terrestre,CARRETAS
Burgos,Terrestre,RODEO
Cuencas del Sureste,Terrestre,PUENTE
Cuencas del Sureste,Terrestre,TINTAL
Tampico-Misantla,Terrestre,HUEHUETEPEC
Tampico-Misantla,Terrestre,GALLO
Tampico-Misantla,Terrestre,ATLAPEXCO
Tampico-Misantla,Terrestre,CACAHUATENGO
Burgos,Terrestre,BLANQUITA
Burgos,Terrestre,OREGANO
Tampico-Misantla,Terrestre,VARA ALTA
Burgos,Terrestre,CLAVEL
Burgos,Terrestre,PASCUALITO
Burgos,Terrestre,PIEDRAS
Tampico-Misantla,Terrestre,ARROYO VIEJO
Burgos,Terrestre,BENAVIDES
Burgos,Terrestre,CUATRO MILPAS
Burgos,Terrestre,DIVISADERO
Burgos,Terrestre,PRIMAVERA
Burgos,Terrestre,RENE
Burgos,Terrestre,CABEZA
Burgos,Terrestre,LERMA
Plataforma Burro-Picachos,Terrestre,ED
Tampico-Misantla,Terrestre,AGUACATE
Burgos,Terrestre,LOBO
Burgos,Terrestre,ZACATE
Burgos,Terrestre,CARLOS
Burgos,Terrestre,SALITRILLO
Cuencas del Sureste,Terrestre,CARACOLILLO
Tampico-Misantla,Terrestre,UNION Y PROGRESO
Burgos,Terrestre,BECERRO
Burgos,Terrestre,LLANO BLANCO
Tampico-Misantla,Terrestre,COAPECHACA
Burgos,Terrestre,TERNERO
Tampico-Misantla,Aguas someras,ARENQUE
Tampico-Misantla,Terrestre,HUIZOTATE
Tampico-Misantla,Terrestre,JAMAYA
Tampico-Misantla,Terrestre,PACIFICO
Tampico-Misantla,Terrestre,PALMA SOLA ORIENTE
Burgos,Terrestre,FERREIRO
Cuencas del Sureste,Terrestre,MACAYO
Tampico-Misantla,Terrestre,IGNACIO ALLENDE
Tampico-Misantla,Terrestre,PALMA SOLA NORTE
Burgos,Terrestre,INDIGENA
Burgos,Terrestre,TERREGAL
Burgos,Terrestre,TIGRILLO
Cuencas del Sureste,Terrestre,EL TIGRE
Tampico-Misantla,Aguas someras,MORSA
Burgos,Terrestre,SOTOL
Burgos,Terrestre,VIBORITAS
Cuencas del Sureste,Terrestre,RODADOR
Tampico-Misantla,Terrestre,PONTON
Burgos,Terrestre,PENA BLANCA
Burgos,Terrestre,PINOLE
Cuencas del Sureste,Terrestre,USUMACINTA
Burgos,Terrestre,LLANURA
Tampico-Misantla,Terrestre,COYULA
Burgos,Terrestre,ARCABUZ
Burgos,Terrestre,TOPO
Burgos,Terrestre,TALISMAN
Cuencas del Sureste,Terrestre,SARLAT
Tampico-Misantla,Terrestre,TRONCONES
Burgos,Terrestre,AGUA BLANCA
Tampico-Misantla,Terrestre,EL CABALLO
Cuencas del Sureste,Terrestre,SITIO GRANDE
Tampico-Misantla,Terrestre,LIMONARIA
Tampico-Misantla,Terrestre,TORDO
Cuencas del Sureste,Terrestre,CACTUS
Cuencas del Sureste,Terrestre,PIGUA
Burgos,Terrestre,SAN PEDRO
Cuencas del Sureste,Terrestre,GUAYO
Tampico-Misantla,Terrestre,RIACHUELO
Burgos,Terrestre,CUITLAHUAC
Tampico-Misantla,Terrestre,GASPAR
Tampico-Misantla,Terrestre,PIRAMIDE
Veracruz,Terrestre,PLAN DE ORO
Burgos,Terrestre,CACAMA
Burgos,Terrestre,YAQUI
Burgos,Terrestre,CUNETA
Burgos,Terrestre,AQUILES
Cuencas del Sureste,Terrestre,SABANCUY
Tampico-Misantla,Aguas someras,BAGRE
Cuencas del Sureste,Terrestre,AYAPA
Burgos,Terrestre,TROJE
Cuencas del Sureste,Terrestre,COANOCHAPA
Tampico-Misantla,Terrestre,SOLEDAD NORTE
Burgos,Terrestre,CABALLERO
Tampico-Misantla,Terrestre,CORRALILLO
Veracruz,Terrestre,MATA PIONCHE
Cuencas del Sureste,Terrestre,AJI
Tampico-Misantla,Aguas someras,MARSOPA
Tampico-Misantla,Terrestre,COYOTES
Tampico-Misantla,Terrestre,TEJADA
Cuencas del Sureste,Terrestre,NISPERO
Cuencas del Sureste,Terrestre,CUNDUACAN
Burgos,Terrestre,CARLOTA
Tampico-Misantla,Aguas someras,ESCUALO
Veracruz,Terrestre,COPITE
Burgos,Terrestre,PANDURA
Cuencas del Sureste,Terrestre,IRIDE
Tampico-Misantla,Terrestre,ARAGON
Cuencas del Sureste,Terrestre,LACAMANGO
Veracruz,Terrestre,COAPA
Burgos,Terrestre,OASIS
Cuencas del Sureste,Terrestre,RIO NUEVO
Tampico-Misantla,Terrestre,CANDELARIA
Tampico-Misantla,Terrestre,COYOL
Burgos,Terrestre,AMATISTA
Burgos,Terrestre,JAUJAL
Burgos,Terrestre,QUITRIN
Burgos,Terrestre,ROBULUS
Burgos,Terrestre,ROTALIA
Burgos,Terrestre,VIDRIOS
Tampico-Misantla,Terrestre,AGUA NACIDA
Tampico-Misantla,Terrestre,HORCONES
Tampico-Misantla,Terrestre,SANTA CLARA
Veracruz,Terrestre,MANUEL RODRIGUEZ AGUILAR
Veracruz,Terrestre,MECAYUCAN
Tampico-Misantla,Terrestre,AGUA FRIA
Burgos,Terrestre,CORINDON
Cuencas del Sureste,Terrestre,CONCEPCION
Burgos,Terrestre,VELERO
Tampico-Misantla,Terrestre,TAMPAMAS
Tampico-Misantla,Terrestre,FOBOS
Veracruz,Terrestre,ESTANZUELA
Veracruz,Terrestre,MIRALEJOS
Cuencas del Sureste,Terrestre,PAILEBOT
Tampico-Misantla,Terrestre,ESCOBAL
Cuencas del Sureste,Terrestre,BACAL
Cuencas del Sureste,Terrestre,ARTESA
Cuencas del Sureste,Terrestre,OXIACAQUE
Cuencas del Sureste,Terrestre,AGAVE
Sabinas,Terrestre,MONCLOVA
Cuencas del Sureste,Terrestre,CACHO LOPEZ
Cuencas del Sureste,Terrestre,MUNDO NUEVO
Tampico-Misantla,Terrestre,MIAHUAPAN
Tampico-Misantla,Terrestre,SABANA GRANDE
Cuencas del Sureste,Terrestre,PAREDON
Cuencas del Sureste,Terrestre,PLATANAL
Plataforma Burro-Picachos,Terrestre,LAMPAZOS
Tampico-Misantla,Terrestre,CENTURION
Cuencas del Sureste,Terrestre,SUNUAPA
Plataforma Burro-Picachos,Terrestre,CIEGA
Tampico-Misantla,Terrestre,CANOAS
Veracruz,Terrestre,REMUDADERO
Tampico-Misantla,Terrestre,HUMAPA
Tampico-Misantla,Terrestre,UMBRIEL
Cuencas del Sureste,Terrestre,CHIAPAS COPANO
Cuencas del Sureste,Terrestre,GIRALDAS
Sabinas,Terrestre,BUENA SUERTE
Burgos,Terrestre,ZAPATA
Sabinas,Terrestre,AMULETO
Burgos,Terrestre,RENO
Burgos,Terrestre,JADE
Cuencas del Sureste,Terrestre,TOPEN
Burgos,Terrestre,PUERTA
Burgos,Terrestre,GIGANTE
Cuencas del Sureste,Terrestre,COMOAPA
Cuencas del Sureste,Terrestre,IRIS
Cuencas del Sureste,Aguas someras,AKAL
Cuencas del Sureste,Terrestre,ACUYO
Cuencas del Sureste,Terrestre,ARROYO ZANAPA
Cuencas del Sureste,Terrestre,PATASTE
Cuencas del Sureste,Aguas someras,NOHOCH
Tampico-Misantla,Terrestre,BRONCE
Tampico-Misantla,Terrestre,JANO
Tampico-Misantla,Terrestre,YATE
Cuencas del Sureste,Terrestre,JUSPI
Tampico-Misantla,Terrestre,METLALTOYUCAN
Tampico-Misantla,Terrestre,URANO
Cuencas del Sureste,Terrestre,FENIX
Sabinas,Terrestre,FLORIDA
Cuencas del Sureste,Terrestre,CANTEMOC
Plataforma Burro-Picachos,Terrestre,CASA ROJA
Plataforma Burro-Picachos,Terrestre,CENTINELA
Plataforma Burro-Picachos,Terrestre,TRILOBITE
Tampico-Misantla,Terrestre,GALVAN
Cuencas del Sureste,Terrestre,CARDENAS
Tampico-Misantla,Terrestre,CALAMINA
Tampico-Misantla,Terrestre,MINIO
Tampico-Misantla,Terrestre,ORUGA
Cuencas del Sureste,Terrestre,CARMITO
Tampico-Misantla,Terrestre,AHUATEPEC
Tampico-Misantla,Terrestre,ALABASTRO
Tampico-Misantla,Terrestre,SILVITA
Tampico-Misantla,Terrestre,TURQUESA
Burgos,Terrestre,ESCORPION
Burgos,Terrestre,GEMINIS
Plataforma Burro-Picachos,Terrestre,MORAL
Tampico-Misantla,Terrestre,BARITA
Tampico-Misantla,Terrestre,ALUNITA
Tampico-Misantla,Terrestre,COSMOS
Tampico-Misantla,Terrestre,DIONE
Tampico-Misantla,Terrestre,POLAR
Burgos,Terrestre,LLORON
Cuencas del Sureste,Aguas someras,ABKATUN
Cuencas del Sureste,Terrestre,JUJO TECOMINOACAN
Plataforma Burro-Picachos,Terrestre,VACAS
Burgos,Terrestre,CATARRIN
Tampico-Misantla,Terrestre,PLACETAS
Tampico-Misantla,Terrestre,CAMAITLAN
Tampico-Misantla,Terrestre,PIEDRA DE CAL
Cuencas del Sureste,Aguas someras,KU
Cuencas del Sureste,Aguas someras,POL
Sabinas,Terrestre,PATRICIO
Burgos,Terrestre,TOTONACA
Sabinas,Terrestre,GATO
Tampico-Misantla,Terrestre,BORNITA
Cuencas del Sureste,Terrestre,BITZAL
Cuencas del Sureste,Terrestre,COBO
Tampico-Misantla,Terrestre,ABEDUL
Tampico-Misantla,Terrestre,LAMINA
Burgos,Terrestre,ALONDRA
Plataforma Burro-Picachos,Terrestre,ZULOAGA
Tampico-Misantla,Terrestre,TLACOLULA
Tampico-Misantla,Terrestre,MONTERIA
Cuencas del Sureste,Terrestre,CHAMIGUA
Burgos,Terrestre,GOMENO
Cuencas del Sureste,Terrestre,MORA
Burgos,Terrestre,DUNA
Plataforma Burro-Picachos,Terrestre,OMEGA
Sabinas,Terrestre,MAESTROS
Cuencas del Sureste,Terrestre,BELLOTA
Cuencas del Sureste,Terrestre,POMELA
Cuencas del Sureste,Terrestre,ALMENDRO
Cuencas del Sureste,Terrestre,MUSPAC
Cuencas del Sureste,Terrestre,TAPIJULAPA
Sabinas,Terrestre,HUERTA
Tampico-Misantla,Terrestre,TENEXCUILA
Cuencas del Sureste,Aguas someras,CHUC
Cuencas del Sureste,Terrestre,CAPARROSO PIJIJE ESCUINTLE
Cuencas del Sureste,Terrestre,LAGUNA NUEVA
Cuencas del Sureste,Terrestre,SAN ALFONSO
Cuencas del Sureste,Terrestre,EDEN JOLOTE
Tampico-Misantla,Terrestre,CHUNCO
Burgos,Terrestre,OBSIDIANA
Tampico-Misantla,Terrestre,SAN NICOLAS
Tampico-Misantla,Terrestre,TANTOYUCA
Burgos,Terrestre,AVENTURERO
Burgos,Terrestre,CAPITAN
Tampico-Misantla,Terrestre,FE
Tampico-Misantla,Terrestre,LA TOTA
Tampico-Misantla,Terrestre,TECO
Cuencas del Sureste,Aguas someras,IXTOC
Cuencas del Sureste,Aguas someras,MALOOB
Cuencas del Sureste,Terrestre,PARAISO
Cuencas del Sureste,Terrestre,PUERTO CEIBA
Burgos,Terrestre,CALABAZA
Cuencas del Sureste,Aguas someras,BATAB
Cuencas del Sureste,Aguas someras,CAAN
Cuencas del Sureste,Terrestre,JACINTO
Burgos,Terrestre,RAFAEL
Burgos,Terrestre,BARRILETE
Cuencas del Sureste,Terrestre,TEPEYIL
Tampico-Misantla,Terrestre,PERSEVERANCIA
Tampico-Misantla,Terrestre,MARQUES
Burgos,Terrestre,TIJERINA
Sabinas,Terrestre,MERCED
Burgos,Terrestre,BERRENDO
Burgos,Terrestre,DOCTOR COSS
Burgos,Terrestre,HUATEMPO
Cuencas del Sureste,Terrestre,SEN
Cuencas del Sureste,Aguas someras,UECH
Cuencas del Sureste,Terrestre,CHIRIMOYO
Cuencas del Sureste,Terrestre,LUNA PALAPA
Tampico-Misantla,Terrestre,CHIMOLAR
Cuencas del Sureste,Terrestre,CHIPILIN
Tampico-Misantla,Terrestre,TAMETUTE
Burgos,Terrestre,NILO
Tampico-Misantla,Terrestre,MELLIZO
Tampico-Misantla,Terrestre,SIAMES
Tampico-Misantla,Terrestre,BUGAMBILIA
Tampico-Misantla,Terrestre,MICRA
Cuencas del Sureste,Terrestre,CARDO
Cuencas del Sureste,Terrestre,ACAHUAL
Cuencas del Sureste,Terrestre,JIMBAL
Cuencas del Sureste,Aguas someras,YUM
Tampico-Misantla,Terrestre,SILOZUCHIL
Cuencas del Sureste,Terrestre,CUATAJAPA
Cuencas del Sureste,Terrestre,YAGUAL
Burgos,Terrestre,PIRATA
Burgos,Terrestre,TIGRIS
Burgos,Terrestre,PIPILA
Cuencas del Sureste,Aguas someras,OCH
Cinturon Plegado de Chiapas,Terrestre,LACANTUN
Cuencas del Sureste,Terrestre,ESCARBADO
Cuencas del Sureste,Terrestre,ACACHU
Cuencas del Sureste,Terrestre,TEPETITAN
Tampico-Misantla,Terrestre,PECERO
Burgos,Terrestre,JARIBU
Cuencas del Sureste,Aguas someras,TARATUNICH
Cuencas del Sureste,Terrestre,GUIRO
Cuencas del Sureste,Terrestre,ZARAGOZA
Burgos,Terrestre,PITA
Burgos,Terrestre,CORZOS
Burgos,Terrestre,MUNOZ Y MARTINEZ
Burgos,Terrestre,OPALO
Burgos,Terrestre,SANTO DOMINGO
Plataforma Burro-Picachos,Terrestre,HECHICERA
Burgos,Terrestre,GENERAL
Burgos,Terrestre,MARABU
Burgos,Terrestre,TECUMA
Burgos,Terrestre,CHINA
Cuencas del Sureste,Terrestre,MANEA
Cuencas del Sureste,Terrestre,CHINCHORRO
Cuencas del Sureste,Terrestre,TIZON
Cuencas del Sureste,Terrestre,GAUCHO
Cuencas del Sureste,Aguas someras,CHAC
Tampico-Misantla,Terrestre,PUYA
Cuencas del Sureste,Aguas someras,EK
Cuencas del Sureste,Terrestre,SECADERO
Burgos,Terrestre,JABALINA
Cuencas del Sureste,Aguas someras,BACAB
Burgos,Terrestre,EMU
Cuencas del Sureste,Terrestre,CATEDRAL
Plataforma Burro-Picachos,Terrestre,ZORRO
Burgos,Terrestre,ALCARAVAN
Burgos,Terrestre,IRENA
Sabinas,Terrestre,ESCUDO
Burgos,Terrestre,PETROLERO
Cuencas del Sureste,Aguas someras,ZAAP
Burgos,Terrestre,AZOR
Cinturon Plegado de Chiapas,Terrestre,CHINTUL
Cuencas del Sureste,Aguas someras,BALAM
Cuencas del Sureste,Terrestre,GURUMAL
Burgos,Terrestre,PIAMONTE
Burgos,Terrestre,CADENA
Veracruz,Terrestre,ADOLFO LOPEZ MATEOS
Cuencas del Sureste,Terrestre,PALANGRE
Cuencas del Sureste,Aguas someras,KAX
Cuencas del Sureste,Aguas someras,KANAAB
Burgos,Terrestre,CONDOR
Tampico-Misantla,Terrestre,PAPATLAS
Burgos,Terrestre,CRONOS
Tampico-Misantla,Terrestre,CARDONA
Cuencas del Sureste,Terrestre,NICAPA
Tampico-Misantla,Terrestre,TEMAPACHE
Tampico-Misantla,Terrestre,HIGUERON
Sabinas,Terrestre,MINERO
Tampico-Misantla,Terrestre,PITAHAYA
Burgos,Terrestre,CABO
Burgos,Terrestre,CICLON
Burgos,Terrestre,GALARDON
Burgos,Terrestre,OVEJA
Burgos,Terrestre,ULISES
Burgos,Terrestre,SULTAN
Burgos,Terrestre,ESTRELLA
Burgos,Terrestre,MACETA
Burgos,Terrestre,TUNDRA
Burgos,Terrestre,CHALUPA
Burgos,Terrestre,MILENIO
Burgos,Terrestre,ARABE
Burgos,Terrestre,KRIPTON
Burgos,Terrestre,RICOS
Cuencas del Sureste,Terrestre,MACUSPANA
Veracruz,Terrestre,ACAGUAL
Burgos,Terrestre,GALIA
Burgos,Terrestre,AMBOS
Cuencas del Sureste,Aguas someras,KUTZ
Veracruz,Terrestre,LIZAMBA
Burgos,Terrestre,EURO
Burgos,Terrestre,LEYENDA
Burgos,Terrestre,NUMERADOR
Burgos,Terrestre,CAUDALOSO
Burgos,Terrestre,ALJIBE
Burgos,Terrestre,SIGMA
Cuencas del Sureste,Terrestre,CAFETO
Burgos,Terrestre,FUNDADOR
Burgos,Terrestre,DOCTOR
Cuencas del Sureste,Terrestre,SAN ROMAN
Cuencas del Sureste,Aguas someras,SIHIL
Burgos,Terrestre,CARRETON
Cuencas del Sureste,Terrestre,SARAMAKO
Burgos,Terrestre,ECLIPSE
Veracruz,Terrestre,PLAYUELA
Burgos,Terrestre,ENLACE
Burgos,Terrestre,DANDI
Burgos,Terrestre,PATRIOTA
Cuencas del Sureste,Terrestre,GUBICHA
Cuencas del Sureste,Terrestre,SHISHITO
Cuencas del Sureste,Terrestre,SOHOL
Burgos,Terrestre,GARUFA
Burgos,Terrestre,VALIOSO
Cuencas del Sureste,Terrestre,NUEVOS LIRIOS
Burgos,Terrestre,DRAGON
Cuencas del Sureste,Aguas someras,CITAM
Tampico-Misantla,Terrestre,TZAPOTEMPA
Veracruz,Terrestre,VISTOSO
Cuencas del Sureste,Aguas someras,SINAN
Burgos,Terrestre,TEQUIS
Burgos,Terrestre,VAGABUNDO
Cuencas del Sureste,Terrestre,GUARICHO
Cuencas del Sureste,Terrestre,VICHE
Burgos,Terrestre,PAME
Burgos,Terrestre,AZABACHE
Burgos,Terrestre,VISIR
Cuencas del Sureste,Aguas someras,BOLONTIKU
Veracruz,Terrestre,PERDIZ
Burgos,Terrestre,CASTA
Burgos,Terrestre,CORINTIO
Burgos,Terrestre,VIERNES
Burgos,Terrestre,MACRO
Burgos,Terrestre,SANTANDER
Burgos,Terrestre,AKITA
Veracruz,Terrestre,MADERA
Cuencas del Sureste,Terrestre,COSTERO
Cuencas del Sureste,Terrestre,MALVA
Tampico-Misantla,Terrestre,POSTECTITLA
Veracruz,Terrestre,APERTURA
Burgos,Terrestre,ROTONDA
Cuencas del Sureste,Aguas someras,MAY
Cuencas del Sureste,Terrestre,NARVAEZ
Tampico-Misantla,Terrestre,PITEPEC
Burgos,Terrestre,BAYO
Burgos,Terrestre,PALEOARCOS
Burgos,Terrestre,ROSAL
Cuencas del Sureste,Aguas someras,IXTAL
Cuencas del Sureste,Aguas someras,KAB
Burgos,Terrestre,NIQUEL
Tampico-Misantla,Aguas someras,CARPA
Burgos,Terrestre,PATLACHE
Burgos,Terrestre,ANTIGUO
Burgos,Terrestre,CARAVANA
Burgos,Terrestre,TECOCO
Tampico-Misantla,Aguas someras,LANKAHUASA
Veracruz,Terrestre,ARQUIMIA
Burgos,Terrestre,EXPLORADOR
